sexe_annee_dpt,annee,top,cla_age_5,sexe,region,dept,Ntop,Npop,prev,Niveau prioritaire,tri
9_2023_13,2023,TPS_ADR_EXC,05-09,9,93,13,0,124780,0,2,3,52
1_2023_13,2023,TPS_ADR_EXC,10-14,1,93,13,40,65670,0.058,2,3,52
2_2023_13,2023,TPS_ADR_EXC,10-14,2,93,13,60,62750,0.1,2,3,52
1_2023_13,2023,TPS_ADR_EXC,20-24,1,93,13,650,61060,1.061,2,3,52
2_2023_13,2023,TPS_ADR_EXC,20-24,2,93,13,1530,64020,2.393,2,3,52
2_2023_13,2023,TPS_ADR_EXC,25-29,2,93,13,2040,67160,3.03,2,3,52
1_2023_13,2023,TPS_ADR_EXC,30-34,1,93,13,1400,65320,2.14,2,3,52
2_2023_13,2023,TPS_ADR_EXC,35-39,2,93,13,3570,72550,4.924,2,3,52
1_2023_13,2023,TPS_ADR_EXC,40-44,1,93,13,2340,66020,3.543,2,3,52
9_2023_13,2023,TPS_ADR_EXC,40-44,9,93,13,7000,137930,5.078,2,3,52
9_2023_13,2023,TPS_ADR_EXC,45-49,9,93,13,8200,130980,6.263,2,3,52
9_2023_13,2023,TPS_ADR_EXC,55-59,9,93,13,12090,139700,8.654,2,3,52
1_2023_13,2023,TPS_ADR_EXC,60-64,1,93,13,3540,61110,5.789,2,3,52
1_2023_13,2023,TPS_ADR_EXC,65-69,1,93,13,2780,53110,5.227,2,3,52
2_2023_13,2023,TPS_ADR_EXC,65-69,2,93,13,6200,60570,10.241,2,3,52
9_2023_13,2023,TPS_ADR_EXC,65-69,9,93,13,8980,113690,7.898,2,3,52
2_2023_13,2023,TPS_ADR_EXC,80-84,2,93,13,5740,35060,16.362,2,3,52
9_2023_13,2023,TPS_ADR_EXC,80-84,9,93,13,8120,61490,13.212,2,3,52
1_2023_13,2023,TPS_ADR_EXC,85-89,1,93,13,1890,16420,11.523,2,3,52
2_2023_13,2023,TPS_ADR_EXC,85-89,2,93,13,5070,26690,18.983,2,3,52
2_2023_13,2023,TPS_ADR_EXC,95et+,2,93,13,1620,7340,22.004,2,3,52
9_2023_13,2023,TPS_ADR_EXC,tsage,9,93,13,113900,2149680,5.298,2,3,52
1_2019_13,2019,TPS_ADR_EXC,00-04,1,93,13,0,62320,0,2,3,52
2_2019_13,2019,TPS_ADR_EXC,00-04,2,93,13,0,59000,0,2,3,52
1_2019_13,2019,TPS_ADR_EXC,05-09,1,93,13,0,65240,0,2,3,52
1_2019_13,2019,TPS_ADR_EXC,10-14,1,93,13,20,62560,0.027,2,3,52
1_2019_13,2019,TPS_ADR_EXC,25-29,1,93,13,760,57740,1.308,2,3,52
2_2019_13,2019,TPS_ADR_EXC,25-29,2,93,13,1270,65360,1.937,2,3,52
9_2019_13,2019,TPS_ADR_EXC,25-29,9,93,13,2020,123100,1.642,2,3,52
9_2019_13,2019,TPS_ADR_EXC,30-34,9,93,13,3160,133010,2.374,2,3,52
9_2019_13,2019,TPS_ADR_EXC,35-39,9,93,13,4730,133830,3.532,2,3,52
1_2019_13,2019,TPS_ADR_EXC,40-44,1,93,13,2000,61160,3.262,2,3,52
2_2019_13,2019,TPS_ADR_EXC,40-44,2,93,13,4060,66160,6.138,2,3,52
2_2019_13,2019,TPS_ADR_EXC,50-54,2,93,13,6560,72340,9.064,2,3,52
9_2019_13,2019,TPS_ADR_EXC,50-54,9,93,13,9750,139870,6.971,2,3,52
9_2019_13,2019,TPS_ADR_EXC,55-59,9,93,13,10890,134300,8.109,2,3,52
1_2019_13,2019,TPS_ADR_EXC,60-64,1,93,13,3150,57590,5.466,2,3,52
2_2019_13,2019,TPS_ADR_EXC,60-64,2,93,13,6600,63940,10.322,2,3,52
1_2019_13,2019,TPS_ADR_EXC,70-74,1,93,13,2430,48050,5.059,2,3,52
2_2019_13,2019,TPS_ADR_EXC,70-74,2,93,13,5680,55670,10.199,2,3,52
9_2019_13,2019,TPS_ADR_EXC,70-74,9,93,13,8110,103720,7.818,2,3,52
2_2019_13,2019,TPS_ADR_EXC,75-79,2,93,13,4920,41100,11.958,2,3,52
9_2019_13,2019,TPS_ADR_EXC,75-79,9,93,13,7030,75270,9.339,2,3,52
2_2019_13,2019,TPS_ADR_EXC,80-84,2,93,13,4710,33370,14.099,2,3,52
9_2019_13,2019,TPS_ADR_EXC,80-84,9,93,13,6650,57840,11.497,2,3,52
9_2019_13,2019,TPS_ADR_EXC,85-89,9,93,13,6410,44460,14.417,2,3,52
1_2019_13,2019,TPS_ADR_EXC,90-94,1,93,13,900,7060,12.707,2,3,52
9_2019_13,2019,TPS_ADR_EXC,95et+,9,93,13,1590,8950,17.726,2,3,52
9_2018_13,2018,TPS_ADR_EXC,05-09,9,93,13,0,126360,0,2,3,52
9_2018_13,2018,TPS_ADR_EXC,15-19,9,93,13,420,115530,0.359,2,3,52
2_2018_13,2018,TPS_ADR_EXC,20-24,2,93,13,680,59850,1.138,2,3,52
1_2018_13,2018,TPS_ADR_EXC,25-29,1,93,13,730,58390,1.242,2,3,52
9_2018_13,2018,TPS_ADR_EXC,25-29,9,93,13,1960,124450,1.573,2,3,52
1_2018_13,2018,TPS_ADR_EXC,35-39,1,93,13,1680,63270,2.652,2,3,52
2_2018_13,2018,TPS_ADR_EXC,35-39,2,93,13,3200,70190,4.565,2,3,52
1_2018_13,2018,TPS_ADR_EXC,45-49,1,93,13,2780,68340,4.065,2,3,52
2_2018_13,2018,TPS_ADR_EXC,55-59,2,93,13,7100,68440,10.379,2,3,52
1_2018_13,2018,TPS_ADR_EXC,60-64,1,93,13,3090,57420,5.381,2,3,52
2_2018_13,2018,TPS_ADR_EXC,60-64,2,93,13,6710,63490,10.564,2,3,52
9_2018_13,2018,TPS_ADR_EXC,60-64,9,93,13,9800,120910,8.103,2,3,52
1_2018_13,2018,TPS_ADR_EXC,65-69,1,93,13,2510,53300,4.715,2,3,52
1_2018_13,2018,TPS_ADR_EXC,70-74,1,93,13,2300,46580,4.933,2,3,52
2_2018_13,2018,TPS_ADR_EXC,85-89,2,93,13,4630,27970,16.563,2,3,52
9_2018_13,2018,TPS_ADR_EXC,85-89,9,93,13,6390,43720,14.612,2,3,52
2_2018_13,2018,TPS_ADR_EXC,90-94,2,93,13,2990,15950,18.754,2,3,52
1_2018_13,2018,TPS_ADR_EXC,95et+,1,93,13,250,1880,13.092,2,3,52
2_2018_13,2018,TPS_ADR_EXC,95et+,2,93,13,1310,6670,19.574,2,3,52
2_2018_13,2018,TPS_ADR_EXC,00-04,2,93,13,0,59430,0,2,3,52
9_2016_13,2016,TPS_ADR_EXC,00-04,9,93,13,0,123210,0,2,3,52
1_2016_13,2016,TPS_ADR_EXC,05-09,1,93,13,0,63690,0,2,3,52
9_2016_13,2016,TPS_ADR_EXC,10-14,9,93,13,40,117440,0.036,2,3,52
9_2016_13,2016,TPS_ADR_EXC,15-19,9,93,13,380,114430,0.33,2,3,52
1_2016_13,2016,TPS_ADR_EXC,25-29,1,93,13,690,58520,1.179,2,3,52
2_2016_13,2016,TPS_ADR_EXC,30-34,2,93,13,2160,68590,3.152,2,3,52
9_2016_13,2016,TPS_ADR_EXC,35-39,9,93,13,4830,130270,3.706,2,3,52
9_2016_13,2016,TPS_ADR_EXC,40-44,9,93,13,6540,131290,4.979,2,3,52
1_2016_13,2016,TPS_ADR_EXC,45-49,1,93,13,2860,66920,4.275,2,3,52
9_2016_13,2016,TPS_ADR_EXC,45-49,9,93,13,8670,138370,6.267,2,3,52
9_2016_13,2016,TPS_ADR_EXC,50-54,9,93,13,10280,139770,7.356,2,3,52
9_2016_13,2016,TPS_ADR_EXC,55-59,9,93,13,10870,129300,8.407,2,3,52
2_2016_13,2016,TPS_ADR_EXC,60-64,2,93,13,6610,62550,10.567,2,3,52
2_2016_13,2016,TPS_ADR_EXC,70-74,2,93,13,4930,48010,10.272,2,3,52
9_2016_13,2016,TPS_ADR_EXC,70-74,9,93,13,7070,89900,7.865,2,3,52
2_2016_13,2016,TPS_ADR_EXC,75-79,2,93,13,4460,37020,12.051,2,3,52
9_2016_13,2016,TPS_ADR_EXC,75-79,9,93,13,6350,67480,9.416,2,3,52
2_2016_13,2016,TPS_ADR_EXC,85-89,2,93,13,4520,27010,16.744,2,3,52
9_2016_13,2016,TPS_ADR_EXC,85-89,9,93,13,6080,42030,14.47,2,3,52
1_2016_13,2016,TPS_ADR_EXC,90-94,1,93,13,740,6100,12.176,2,3,52
9_2016_13,2016,TPS_ADR_EXC,tsage,9,93,13,97030,2036460,4.765,2,3,52
9_2017_13,2017,TPS_ADR_EXC,05-09,9,93,13,0,124880,0,2,3,52
1_2017_13,2017,TPS_ADR_EXC,25-29,1,93,13,720,58670,1.222,2,3,52
2_2017_13,2017,TPS_ADR_EXC,25-29,2,93,13,1310,66480,1.966,2,3,52
9_2017_13,2017,TPS_ADR_EXC,25-29,9,93,13,2020,125160,1.617,2,3,52
1_2017_13,2017,TPS_ADR_EXC,35-39,1,93,13,1670,62760,2.655,2,3,52
2_2017_13,2017,TPS_ADR_EXC,35-39,2,93,13,3210,69430,4.628,2,3,52
9_2017_13,2017,TPS_ADR_EXC,40-44,9,93,13,6370,129120,4.931,2,3,52
1_2017_13,2017,TPS_ADR_EXC,45-49,1,93,13,2870,67810,4.231,2,3,52
2_2017_13,2017,TPS_ADR_EXC,45-49,2,93,13,5650,72000,7.845,2,3,52
9_2017_13,2017,TPS_ADR_EXC,50-54,9,93,13,10260,141180,7.264,2,3,52
2_2017_13,2017,TPS_ADR_EXC,55-59,2,93,13,7010,67290,10.423,2,3,52
1_2017_13,2017,TPS_ADR_EXC,60-64,1,93,13,3060,56840,5.386,2,3,52
9_2017_13,2017,TPS_ADR_EXC,65-69,9,93,13,8200,113860,7.203,2,3,52
9_2017_13,2017,TPS_ADR_EXC,75-79,9,93,13,6490,69660,9.319,2,3,52
1_2017_13,2017,TPS_ADR_EXC,80-84,1,93,13,1920,23920,8.031,2,3,52
9_2017_13,2017,TPS_ADR_EXC,80-84,9,93,13,6630,57980,11.426,2,3,52
1_2017_13,2017,TPS_ADR_EXC,90-94,1,93,13,810,6410,12.672,2,3,52
9_2017_13,2017,TPS_ADR_EXC,95et+,9,93,13,1380,7850,17.58,2,3,52
1_2017_13,2017,TPS_ADR_EXC,tsage,1,93,13,30090,976090,3.082,2,3,52
2_2015_13,2015,TPS_ADR_EXC,00-04,2,93,13,0,59560,0,2,3,52
1_2015_13,2015,TPS_ADR_EXC,05-09,1,93,13,0,62830,0,2,3,52
1_2017_13,2017,TPS_ADR_EXC,00-04,1,93,13,0,63190,0,2,3,52
2_2017_13,2017,TPS_ADR_EXC,00-04,2,93,13,0,59390,0,2,3,52
2_2017_13,2017,TPS_ADR_EXC,05-09,2,93,13,0,60930,0,2,3,52
1_2020_13,2020,TPS_ADR_EXC,10-14,1,93,13,20,63020,0.038,2,3,52
2_2020_13,2020,TPS_ADR_EXC,10-14,2,93,13,30,60320,0.05,2,3,52
1_2020_13,2020,TPS_ADR_EXC,15-19,1,93,13,150,58300,0.254,2,3,52
2_2020_13,2020,TPS_ADR_EXC,15-19,2,93,13,320,57640,0.557,2,3,52
1_2020_13,2020,TPS_ADR_EXC,20-24,1,93,13,460,56680,0.805,2,3,52
2_2020_13,2020,TPS_ADR_EXC,20-24,2,93,13,850,61350,1.392,2,3,52
9_2020_13,2020,TPS_ADR_EXC,30-34,9,93,13,3060,134170,2.283,2,3,52
1_2020_13,2020,TPS_ADR_EXC,40-44,1,93,13,1980,62700,3.163,2,3,52
9_2020_13,2020,TPS_ADR_EXC,40-44,9,93,13,5970,130470,4.577,2,3,52
2_2020_13,2020,TPS_ADR_EXC,50-54,2,93,13,6430,71770,8.963,2,3,52
9_2020_13,2020,TPS_ADR_EXC,50-54,9,93,13,9540,139350,6.849,2,3,52
2_2020_13,2020,TPS_ADR_EXC,65-69,2,93,13,5820,59730,9.747,2,3,52
9_2020_13,2020,TPS_ADR_EXC,65-69,9,93,13,8360,112300,7.441,2,3,52
1_2020_13,2020,TPS_ADR_EXC,70-74,1,93,13,2530,49500,5.109,2,3,52
2_2020_13,2020,TPS_ADR_EXC,70-74,2,93,13,6040,58040,10.405,2,3,52
9_2020_13,2020,TPS_ADR_EXC,75-79,9,93,13,7310,76830,9.512,2,3,52
1_2020_13,2020,TPS_ADR_EXC,80-84,1,93,13,1950,24650,7.919,2,3,52
1_2020_13,2020,TPS_ADR_EXC,85-89,1,93,13,1790,16340,10.942,2,3,52
2_2020_13,2020,TPS_ADR_EXC,85-89,2,93,13,4760,28010,17.01,2,3,52
9_2020_13,2020,TPS_ADR_EXC,85-89,9,93,13,6550,44350,14.774,2,3,52
2_2020_13,2020,TPS_ADR_EXC,90-94,2,93,13,3240,16820,19.272,2,3,52
1_2020_13,2020,TPS_ADR_EXC,95et+,1,93,13,280,2020,13.938,2,3,52
2_2020_13,2020,TPS_ADR_EXC,tsage,2,93,13,68490,1093500,6.263,2,3,52
1_2017_13,2017,TPS_ADR_EXC,10-14,1,93,13,30,60520,0.043,2,3,52
9_2017_13,2017,TPS_ADR_EXC,20-24,9,93,13,1060,113370,0.932,2,3,52
9_2017_13,2017,TPS_ADR_EXC,35-39,9,93,13,4880,132190,3.691,2,3,52
1_2017_13,2017,TPS_ADR_EXC,40-44,1,93,13,2060,62310,3.311,2,3,52
2_2017_13,2017,TPS_ADR_EXC,40-44,2,93,13,4300,66810,6.442,2,3,52
2_2017_13,2017,TPS_ADR_EXC,65-69,2,93,13,5750,60410,9.519,2,3,52
1_2017_13,2017,TPS_ADR_EXC,70-74,1,93,13,2180,44560,4.89,2,3,52
2_2017_13,2017,TPS_ADR_EXC,80-84,2,93,13,4700,34060,13.811,2,3,52
1_2017_13,2017,TPS_ADR_EXC,85-89,1,93,13,1630,15500,10.518,2,3,52
2_2017_13,2017,TPS_ADR_EXC,85-89,2,93,13,4520,27680,16.318,2,3,52
9_2017_13,2017,TPS_ADR_EXC,85-89,9,93,13,6150,43170,14.236,2,3,52
2_2017_13,2017,TPS_ADR_EXC,90-94,2,93,13,2980,15870,18.809,2,3,52
1_2017_13,2017,TPS_ADR_EXC,95et+,1,93,13,220,1710,12.683,2,3,52
9_2017_13,2017,TPS_ADR_EXC,tsage,9,93,13,97010,2050960,4.73,2,3,52
1_2020_13,2020,TPS_ADR_EXC,05-09,1,93,13,0,63520,0,2,3,52
9_2020_13,2020,TPS_ADR_EXC,00-04,9,93,13,0,118040,0,2,3,52
1_2021_13,2021,TPS_ADR_EXC,10-14,1,93,13,30,65890,0.046,2,3,52
1_2021_13,2021,TPS_ADR_EXC,15-19,1,93,13,170,62630,0.275,2,3,52
9_2021_13,2021,TPS_ADR_EXC,15-19,9,93,13,650,123110,0.529,2,3,52
1_2021_13,2021,TPS_ADR_EXC,20-24,1,93,13,550,64390,0.86,2,3,52
1_2021_13,2021,TPS_ADR_EXC,30-34,1,93,13,1240,70180,1.764,2,3,52
9_2021_13,2021,TPS_ADR_EXC,30-34,9,93,13,3520,142370,2.475,2,3,52
2_2021_13,2021,TPS_ADR_EXC,40-44,2,93,13,4420,70770,6.244,2,3,52
1_2021_13,2021,TPS_ADR_EXC,50-54,1,93,13,3300,70730,4.665,2,3,52
9_2021_13,2021,TPS_ADR_EXC,50-54,9,93,13,10000,143640,6.96,2,3,52
1_2021_13,2021,TPS_ADR_EXC,55-59,1,93,13,3680,69180,5.32,2,3,52
1_2021_13,2021,TPS_ADR_EXC,65-69,1,93,13,2550,53170,4.791,2,3,52
2_2021_13,2021,TPS_ADR_EXC,65-69,2,93,13,6080,60240,10.089,2,3,52
2_2021_13,2021,TPS_ADR_EXC,70-74,2,93,13,6270,58360,10.744,2,3,52
9_2021_13,2021,TPS_ADR_EXC,70-74,9,93,13,8980,108130,8.303,2,3,52
1_2021_13,2021,TPS_ADR_EXC,75-79,1,93,13,2390,37020,6.453,2,3,52
9_2021_13,2021,TPS_ADR_EXC,75-79,9,93,13,8140,82300,9.887,2,3,52
2_2021_13,2021,TPS_ADR_EXC,80-84,2,93,13,4970,33340,14.918,2,3,52
2_2021_13,2021,TPS_ADR_EXC,90-94,2,93,13,3370,16840,20.011,2,3,52
9_2021_13,2021,TPS_ADR_EXC,95et+,9,93,13,1750,9400,18.657,2,3,52
9_2021_13,2021,TPS_ADR_EXC,00-04,9,93,13,0,118880,0,2,3,52
2_2021_13,2021,TPS_ADR_EXC,00-04,2,93,13,0,57630,0,2,3,52
2_2021_13,2021,TPS_ADR_EXC,05-09,2,93,13,0,62150,0,2,3,52
1_2020_13,2020,TPS_ADR_EXC,25-29,1,93,13,750,58780,1.271,2,3,52
2_2020_13,2020,TPS_ADR_EXC,35-39,2,93,13,3000,70420,4.257,2,3,52
9_2020_13,2020,TPS_ADR_EXC,35-39,9,93,13,4540,134610,3.37,2,3,52
2_2020_13,2020,TPS_ADR_EXC,40-44,2,93,13,3990,67760,5.885,2,3,52
1_2020_13,2020,TPS_ADR_EXC,45-49,1,93,13,2570,66660,3.848,2,3,52
1_2020_13,2020,TPS_ADR_EXC,50-54,1,93,13,3110,67570,4.604,2,3,52
1_2020_13,2020,TPS_ADR_EXC,60-64,1,93,13,3100,58120,5.327,2,3,52
2_2020_13,2020,TPS_ADR_EXC,60-64,2,93,13,6650,64130,10.362,2,3,52
9_2020_13,2020,TPS_ADR_EXC,60-64,9,93,13,9740,122250,7.968,2,3,52
9_2020_13,2020,TPS_ADR_EXC,70-74,9,93,13,8570,107540,7.968,2,3,52
1_2020_13,2020,TPS_ADR_EXC,75-79,1,93,13,2200,34740,6.342,2,3,52
2_2020_13,2020,TPS_ADR_EXC,75-79,2,93,13,5110,42100,12.126,2,3,52
2_2020_13,2020,TPS_ADR_EXC,80-84,2,93,13,4840,33250,14.551,2,3,52
1_2020_13,2020,TPS_ADR_EXC,90-94,1,93,13,970,7390,13.095,2,3,52
