sexe_annee_dpt,annee,top,cla_age_5,sexe,region,dept,Ntop,Npop,prev,Niveau prioritaire,tri
1_2020_13,2020,TPS_ADR_EXC,35-39,1,93,13,1540,64190,2.396,2,3,52
2_2020_13,2020,TPS_ADR_EXC,45-49,2,93,13,5350,71070,7.534,2,3,52
9_2020_13,2020,TPS_ADR_EXC,45-49,9,93,13,7920,137730,5.75,2,3,52
1_2020_13,2020,TPS_ADR_EXC,55-59,1,93,13,3590,65850,5.456,2,3,52
2_2020_13,2020,TPS_ADR_EXC,55-59,2,93,13,7330,70430,10.403,2,3,52
9_2020_13,2020,TPS_ADR_EXC,55-59,9,93,13,10920,136280,8.013,2,3,52
1_2020_13,2020,TPS_ADR_EXC,65-69,1,93,13,2530,52570,4.82,2,3,52
9_2020_13,2020,TPS_ADR_EXC,80-84,9,93,13,6790,57900,11.728,2,3,52
9_2020_13,2020,TPS_ADR_EXC,95et+,9,93,13,1690,9340,18.141,2,3,52
1_2020_13,2020,TPS_ADR_EXC,tsage,1,93,13,30560,997120,3.064,2,3,52
1_2020_13,2020,TPS_ADR_EXC,00-04,1,93,13,0,60750,0,2,3,52
2_2020_13,2020,TPS_ADR_EXC,00-04,2,93,13,0,57290,0,2,3,52
2_2020_13,2020,TPS_ADR_EXC,05-09,2,93,13,0,60500,0,2,3,52
9_2015_13,2015,TPS_ADR_EXC,05-09,9,93,13,0,122810,0,2,3,52
1_2015_13,2015,TPS_ADR_EXC,10-14,1,93,13,30,59050,0.044,2,3,52
2_2015_13,2015,TPS_ADR_EXC,15-19,2,93,13,220,56080,0.389,2,3,52
9_2015_13,2015,TPS_ADR_EXC,20-24,9,93,13,1100,112760,0.977,2,3,52
9_2015_13,2015,TPS_ADR_EXC,25-29,9,93,13,1970,124480,1.586,2,3,52
2_2015_13,2015,TPS_ADR_EXC,35-39,2,93,13,3350,66030,5.077,2,3,52
9_2015_13,2015,TPS_ADR_EXC,35-39,9,93,13,4950,126320,3.915,2,3,52
1_2015_13,2015,TPS_ADR_EXC,40-44,1,93,13,2260,64480,3.499,2,3,52
2_2015_13,2015,TPS_ADR_EXC,40-44,2,93,13,4840,69390,6.969,2,3,52
9_2015_13,2015,TPS_ADR_EXC,40-44,9,93,13,7090,133870,5.298,2,3,52
2_2015_13,2015,TPS_ADR_EXC,50-54,2,93,13,7000,71020,9.861,2,3,52
9_2015_13,2015,TPS_ADR_EXC,55-59,9,93,13,10890,126220,8.626,2,3,52
2_2015_13,2015,TPS_ADR_EXC,60-64,2,93,13,6640,62070,10.693,2,3,52
9_2015_13,2015,TPS_ADR_EXC,75-79,9,93,13,6230,66690,9.338,2,3,52
1_2015_13,2015,TPS_ADR_EXC,85-89,1,93,13,1580,14480,10.943,2,3,52
1_2015_13,2015,TPS_ADR_EXC,90-94,1,93,13,700,5800,12.106,2,3,52
2_2015_13,2015,TPS_ADR_EXC,90-94,2,93,13,2820,15260,18.474,2,3,52
2_2015_13,2015,TPS_ADR_EXC,95et+,2,93,13,910,4880,18.7,2,3,52
9_2015_13,2015,TPS_ADR_EXC,95et+,9,93,13,1070,6140,17.435,2,3,52
2_2015_13,2015,TPS_ADR_EXC,tsage,2,93,13,67380,1053020,6.398,2,3,52
9_2022_13,2022,TPS_ADR_EXC,05-09,9,93,13,0,128540,0,2,3,52
1_2022_13,2022,TPS_ADR_EXC,10-14,1,93,13,30,66840,0.043,2,3,52
2_2022_13,2022,TPS_ADR_EXC,10-14,2,93,13,80,64010,0.125,2,3,52
2_2022_13,2022,TPS_ADR_EXC,15-19,2,93,13,680,61360,1.107,2,3,52
9_2022_13,2022,TPS_ADR_EXC,15-19,9,93,13,870,125210,0.698,2,3,52
9_2022_13,2022,TPS_ADR_EXC,20-24,9,93,13,1920,128620,1.493,2,3,52
1_2022_13,2022,TPS_ADR_EXC,25-29,1,93,13,920,64870,1.421,2,3,52
2_2022_13,2022,TPS_ADR_EXC,25-29,2,93,13,1700,67770,2.507,2,3,52
9_2022_13,2022,TPS_ADR_EXC,25-29,9,93,13,2620,132640,1.976,2,3,52
1_2022_13,2022,TPS_ADR_EXC,30-34,1,93,13,1310,69360,1.883,2,3,52
1_2022_13,2022,TPS_ADR_EXC,35-39,1,93,13,1660,68620,2.413,2,3,52
2_2022_13,2022,TPS_ADR_EXC,35-39,2,93,13,3310,72340,4.574,2,3,52
9_2022_13,2022,TPS_ADR_EXC,40-44,9,93,13,6780,140670,4.818,2,3,52
1_2022_13,2022,TPS_ADR_EXC,45-49,1,93,13,2590,67170,3.853,2,3,52
9_2022_13,2022,TPS_ADR_EXC,45-49,9,93,13,8020,136130,5.893,2,3,52
1_2022_13,2022,TPS_ADR_EXC,50-54,1,93,13,3340,71320,4.683,2,3,52
9_2022_13,2022,TPS_ADR_EXC,55-59,9,93,13,11860,142160,8.342,2,3,52
2_2022_13,2022,TPS_ADR_EXC,65-69,2,93,13,6140,60560,10.146,2,3,52
9_2022_13,2022,TPS_ADR_EXC,65-69,9,93,13,8830,113810,7.759,2,3,52
2_2022_13,2022,TPS_ADR_EXC,70-74,2,93,13,6330,58070,10.898,2,3,52
1_2022_13,2022,TPS_ADR_EXC,75-79,1,93,13,2680,39230,6.826,2,3,52
9_2022_13,2022,TPS_ADR_EXC,80-84,9,93,13,7660,59700,12.822,2,3,52
9_2022_13,2022,TPS_ADR_EXC,85-89,9,93,13,6770,43340,15.609,2,3,52
2_2022_13,2022,TPS_ADR_EXC,95et+,2,93,13,1550,7420,20.855,2,3,52
2_2022_13,2022,TPS_ADR_EXC,tsage,2,93,13,75680,1128220,6.708,2,3,52
1_2021_13,2021,TPS_ADR_EXC,00-04,1,93,13,0,61250,0,2,3,52
1_2021_13,2021,TPS_ADR_EXC,05-09,1,93,13,0,65350,0,2,3,52
1_2015_13,2015,TPS_ADR_EXC,00-04,1,93,13,0,63010,0,2,3,52
2_2015_13,2015,TPS_ADR_EXC,05-09,2,93,13,0,59980,0,2,3,52
9_2015_13,2015,TPS_ADR_EXC,00-04,9,93,13,0,122570,0,2,3,52
9_2015_13,2015,TPS_ADR_EXC,10-14,9,93,13,40,115260,0.038,2,3,52
1_2015_13,2015,TPS_ADR_EXC,15-19,1,93,13,120,56670,0.219,2,3,52
1_2015_13,2015,TPS_ADR_EXC,25-29,1,93,13,670,58280,1.156,2,3,52
2_2015_13,2015,TPS_ADR_EXC,25-29,2,93,13,1300,66200,1.964,2,3,52
1_2015_13,2015,TPS_ADR_EXC,30-34,1,93,13,1190,60260,1.98,2,3,52
2_2015_13,2015,TPS_ADR_EXC,30-34,2,93,13,2310,68070,3.389,2,3,52
9_2015_13,2015,TPS_ADR_EXC,30-34,9,93,13,3500,128330,2.727,2,3,52
1_2015_13,2015,TPS_ADR_EXC,35-39,1,93,13,1590,60290,2.644,2,3,52
1_2015_13,2015,TPS_ADR_EXC,45-49,1,93,13,2840,66440,4.277,2,3,52
9_2015_13,2015,TPS_ADR_EXC,45-49,9,93,13,8760,137390,6.379,2,3,52
9_2015_13,2015,TPS_ADR_EXC,50-54,9,93,13,10300,136990,7.515,2,3,52
2_2015_13,2015,TPS_ADR_EXC,55-59,2,93,13,7360,66020,11.146,2,3,52
1_2015_13,2015,TPS_ADR_EXC,60-64,1,93,13,2990,55990,5.331,2,3,52
2_2015_13,2015,TPS_ADR_EXC,65-69,2,93,13,5760,60000,9.604,2,3,52
9_2015_13,2015,TPS_ADR_EXC,65-69,9,93,13,8150,113570,7.175,2,3,52
9_2015_13,2015,TPS_ADR_EXC,70-74,9,93,13,6590,83240,7.919,2,3,52
1_2015_13,2015,TPS_ADR_EXC,75-79,1,93,13,1790,30010,5.962,2,3,52
2_2015_13,2015,TPS_ADR_EXC,75-79,2,93,13,4440,36680,12.099,2,3,52
2_2015_13,2015,TPS_ADR_EXC,80-84,2,93,13,4790,34590,13.854,2,3,52
2_2015_13,2015,TPS_ADR_EXC,85-89,2,93,13,4410,26470,16.67,2,3,52
9_2015_13,2015,TPS_ADR_EXC,85-89,9,93,13,6000,40950,14.646,2,3,52
9_2015_13,2015,TPS_ADR_EXC,90-94,9,93,13,3520,21060,16.72,2,3,52
1_2015_13,2015,TPS_ADR_EXC,95et+,1,93,13,160,1260,12.54,2,3,52
1_2015_13,2015,TPS_ADR_EXC,tsage,1,93,13,29470,954570,3.088,2,3,52
9_2015_13,2015,TPS_ADR_EXC,tsage,9,93,13,96850,2007590,4.824,2,3,52
2_2016_13,2016,TPS_ADR_EXC,00-04,2,93,13,0,59790,0,2,3,52
9_2016_13,2016,TPS_ADR_EXC,05-09,9,93,13,0,124360,0,2,3,52
1_2016_13,2016,TPS_ADR_EXC,10-14,1,93,13,20,59880,0.03,2,3,52
2_2016_13,2016,TPS_ADR_EXC,10-14,2,93,13,20,57570,0.042,2,3,52
1_2016_13,2016,TPS_ADR_EXC,15-19,1,93,13,140,57630,0.245,2,3,52
2_2016_13,2016,TPS_ADR_EXC,20-24,2,93,13,650,59150,1.092,2,3,52
9_2016_13,2016,TPS_ADR_EXC,30-34,9,93,13,3280,129470,2.533,2,3,52
1_2016_13,2016,TPS_ADR_EXC,35-39,1,93,13,1560,62000,2.515,2,3,52
2_2016_13,2016,TPS_ADR_EXC,35-39,2,93,13,3270,68270,4.788,2,3,52
1_2016_13,2016,TPS_ADR_EXC,50-54,1,93,13,3310,67320,4.916,2,3,52
2_2016_13,2016,TPS_ADR_EXC,55-59,2,93,13,7250,67220,10.778,2,3,52
1_2016_13,2016,TPS_ADR_EXC,60-64,1,93,13,3080,56530,5.441,2,3,52
2_2016_13,2016,TPS_ADR_EXC,65-69,2,93,13,5860,60520,9.684,2,3,52
9_2016_13,2016,TPS_ADR_EXC,65-69,9,93,13,8280,114620,7.222,2,3,52
2_2016_13,2016,TPS_ADR_EXC,80-84,2,93,13,4770,34620,13.785,2,3,52
2_2016_13,2016,TPS_ADR_EXC,90-94,2,93,13,2940,15710,18.687,2,3,52
1_2016_13,2016,TPS_ADR_EXC,95et+,1,93,13,200,1520,13.272,2,3,52
2_2016_13,2016,TPS_ADR_EXC,95et+,2,93,13,1040,5620,18.538,2,3,52
2_2016_13,2016,TPS_ADR_EXC,tsage,2,93,13,67270,1067230,6.303,2,3,52
9_2017_13,2017,TPS_ADR_EXC,00-04,9,93,13,0,122580,0,2,3,52
1_2017_13,2017,TPS_ADR_EXC,05-09,1,93,13,0,63950,0,2,3,52
2_2017_13,2017,TPS_ADR_EXC,10-14,2,93,13,30,58260,0.045,2,3,52
9_2017_13,2017,TPS_ADR_EXC,10-14,9,93,13,50,118780,0.044,2,3,52
1_2017_13,2017,TPS_ADR_EXC,15-19,1,93,13,130,57570,0.229,2,3,52
2_2017_13,2017,TPS_ADR_EXC,15-19,2,93,13,240,57180,0.423,2,3,52
9_2017_13,2017,TPS_ADR_EXC,15-19,9,93,13,370,114740,0.326,2,3,52
1_2017_13,2017,TPS_ADR_EXC,20-24,1,93,13,400,54080,0.747,2,3,52
2_2017_13,2017,TPS_ADR_EXC,20-24,2,93,13,650,59290,1.101,2,3,52
1_2017_13,2017,TPS_ADR_EXC,30-34,1,93,13,1050,60740,1.722,2,3,52
2_2017_13,2017,TPS_ADR_EXC,30-34,2,93,13,2130,68640,3.096,2,3,52
9_2017_13,2017,TPS_ADR_EXC,30-34,9,93,13,3170,129380,2.451,2,3,52
9_2017_13,2017,TPS_ADR_EXC,45-49,9,93,13,8520,139810,6.092,2,3,52
1_2017_13,2017,TPS_ADR_EXC,50-54,1,93,13,3270,67940,4.814,2,3,52
2_2017_13,2017,TPS_ADR_EXC,50-54,2,93,13,6990,73240,9.538,2,3,52
1_2017_13,2017,TPS_ADR_EXC,55-59,1,93,13,3650,62390,5.852,2,3,52
9_2017_13,2017,TPS_ADR_EXC,55-59,9,93,13,10670,129680,8.224,2,3,52
2_2017_13,2017,TPS_ADR_EXC,60-64,2,93,13,6620,62870,10.536,2,3,52
9_2017_13,2017,TPS_ADR_EXC,60-64,9,93,13,9690,119710,8.091,2,3,52
1_2017_13,2017,TPS_ADR_EXC,65-69,1,93,13,2450,53460,4.587,2,3,52
2_2017_13,2017,TPS_ADR_EXC,70-74,2,93,13,5130,51030,10.059,2,3,52
9_2017_13,2017,TPS_ADR_EXC,70-74,9,93,13,7310,95590,7.649,2,3,52
1_2017_13,2017,TPS_ADR_EXC,75-79,1,93,13,1960,31770,6.182,2,3,52
2_2017_13,2017,TPS_ADR_EXC,75-79,2,93,13,4530,37890,11.949,2,3,52
9_2017_13,2017,TPS_ADR_EXC,90-94,9,93,13,3800,22270,17.043,2,3,52
2_2017_13,2017,TPS_ADR_EXC,95et+,2,93,13,1160,6140,18.944,2,3,52
2_2017_13,2017,TPS_ADR_EXC,tsage,2,93,13,66920,1074870,6.226,2,3,52
9_2021_13,2021,TPS_ADR_EXC,05-09,9,93,13,10,127490,0.011,2,3,52
2_2021_13,2021,TPS_ADR_EXC,20-24,2,93,13,1080,64090,1.677,2,3,52
2_2021_13,2021,TPS_ADR_EXC,35-39,2,93,13,3120,71950,4.331,2,3,52
2_2021_13,2021,TPS_ADR_EXC,45-49,2,93,13,5460,70150,7.779,2,3,52
9_2021_13,2021,TPS_ADR_EXC,45-49,9,93,13,8010,139020,5.764,2,3,52
2_2021_13,2021,TPS_ADR_EXC,50-54,2,93,13,6700,72910,9.185,2,3,52
2_2021_13,2021,TPS_ADR_EXC,55-59,2,93,13,7750,72270,10.727,2,3,52
1_2021_13,2021,TPS_ADR_EXC,60-64,1,93,13,3310,60750,5.455,2,3,52
9_2021_13,2021,TPS_ADR_EXC,65-69,9,93,13,8630,113410,7.605,2,3,52
1_2021_13,2021,TPS_ADR_EXC,80-84,1,93,13,2060,24740,8.315,2,3,52
2_2021_13,2021,TPS_ADR_EXC,85-89,2,93,13,4820,27680,17.422,2,3,52
9_2021_13,2021,TPS_ADR_EXC,85-89,9,93,13,6620,44150,14.992,2,3,52
9_2021_13,2021,TPS_ADR_EXC,90-94,9,93,13,4320,24370,17.723,2,3,52
1_2021_13,2021,TPS_ADR_EXC,95et+,1,93,13,270,1970,13.937,2,3,52
2_2021_13,2021,TPS_ADR_EXC,95et+,2,93,13,1480,7430,19.906,2,3,52
1_2021_13,2021,TPS_ADR_EXC,tsage,1,93,13,32200,1053750,3.056,2,3,52
9_2023_13,2023,TPS_ADR_EXC,10-14,9,93,13,100,128410,0.079,2,3,52
1_2023_13,2023,TPS_ADR_EXC,15-19,1,93,13,250,62430,0.404,2,3,52
2_2023_13,2023,TPS_ADR_EXC,15-19,2,93,13,690,61010,1.128,2,3,52
1_2023_13,2023,TPS_ADR_EXC,25-29,1,93,13,1010,62180,1.623,2,3,52
9_2023_13,2023,TPS_ADR_EXC,25-29,9,93,13,3040,129340,2.353,2,3,52
2_2023_13,2023,TPS_ADR_EXC,30-34,2,93,13,2800,71160,3.935,2,3,52
9_2023_13,2023,TPS_ADR_EXC,30-34,9,93,13,4200,136480,3.076,2,3,52
1_2023_13,2023,TPS_ADR_EXC,35-39,1,93,13,1770,66680,2.652,2,3,52
2_2023_13,2023,TPS_ADR_EXC,40-44,2,93,13,4670,71910,6.488,2,3,52
1_2023_13,2023,TPS_ADR_EXC,45-49,1,93,13,2590,63810,4.056,2,3,52
2_2023_13,2023,TPS_ADR_EXC,45-49,2,93,13,5620,67170,8.361,2,3,52
9_2023_13,2023,TPS_ADR_EXC,50-54,9,93,13,10530,142210,7.406,2,3,52
1_2023_13,2023,TPS_ADR_EXC,55-59,1,93,13,3960,67800,5.844,2,3,52
2_2023_13,2023,TPS_ADR_EXC,55-59,2,93,13,8130,71900,11.304,2,3,52
2_2023_13,2023,TPS_ADR_EXC,70-74,2,93,13,6460,57620,11.206,2,3,52
1_2023_13,2023,TPS_ADR_EXC,75-79,1,93,13,2850,40770,6.987,2,3,52
9_2023_13,2023,TPS_ADR_EXC,75-79,9,93,13,9380,90700,10.341,2,3,52
1_2023_13,2023,TPS_ADR_EXC,80-84,1,93,13,2390,26420,9.033,2,3,52
9_2023_13,2023,TPS_ADR_EXC,85-89,9,93,13,6960,43110,16.141,2,3,52
1_2023_13,2023,TPS_ADR_EXC,90-94,1,93,13,1060,7650,13.847,2,3,52
2_2023_13,2023,TPS_ADR_EXC,90-94,2,93,13,3710,17150,21.642,2,3,52
9_2023_13,2023,TPS_ADR_EXC,95et+,9,93,13,1930,9460,20.372,2,3,52
2_2023_13,2023,TPS_ADR_EXC,tsage,2,93,13,78740,1120040,7.03,2,3,52
1_2023_13,2023,TPS_ADR_EXC,00-04,1,93,13,0,59480,0,2,3,52
2_2023_13,2023,TPS_ADR_EXC,00-04,2,93,13,0,56320,0,2,3,52
1_2023_13,2023,TPS_ADR_EXC,05-09,1,93,13,0,64080,0,2,3,52
2_2023_13,2023,TPS_ADR_EXC,05-09,2,93,13,0,60700,0,2,3,52
2_2015_13,2015,TPS_ADR_EXC,10-14,2,93,13,20,56210,0.032,2,3,52
9_2015_13,2015,TPS_ADR_EXC,15-19,9,93,13,340,112750,0.303,2,3,52
1_2015_13,2015,TPS_ADR_EXC,20-24,1,93,13,380,53530,0.714,2,3,52
2_2015_13,2015,TPS_ADR_EXC,20-24,2,93,13,720,59230,1.216,2,3,52
2_2015_13,2015,TPS_ADR_EXC,45-49,2,93,13,5920,70950,8.347,2,3,52
1_2015_13,2015,TPS_ADR_EXC,50-54,1,93,13,3290,65970,4.99,2,3,52
1_2015_13,2015,TPS_ADR_EXC,55-59,1,93,13,3530,60200,5.862,2,3,52
9_2015_13,2015,TPS_ADR_EXC,60-64,9,93,13,9620,118060,8.15,2,3,52
1_2015_13,2015,TPS_ADR_EXC,65-69,1,93,13,2390,53570,4.454,2,3,52
1_2015_13,2015,TPS_ADR_EXC,70-74,1,93,13,2030,38900,5.206,2,3,52
2_2015_13,2015,TPS_ADR_EXC,70-74,2,93,13,4570,44340,10.299,2,3,52
1_2015_13,2015,TPS_ADR_EXC,80-84,1,93,13,1930,23550,8.189,2,3,52
9_2015_13,2015,TPS_ADR_EXC,80-84,9,93,13,6720,58130,11.56,2,3,52
